'20';'../img/e1d9dc_mailingp.jpg';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Mis Propuestas por Yucatán';'2012-05-08'
'25';'../img/74ec9a_mailing dia del maestro copy.jpg';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Rolando Zapata Bello te desea un Feliz día del Maestro';'2012-05-14'
'26';'../img/d077e5_mailing1.png';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Boletín Semanal: Conoce las propuestas de Rolando Zapata Bello';'2012-05-15'
'27';'../img/0563d0_Tulips.jpg';'Activo';'fsdf';'sdfdsf';'sdfdsf';'2012-05-20'
'28';'../img/fce7fe_Lighthouse.jpg';'Activo';'sdfdsf';'sdfsf';'sdfdsf';'2012-05-20'
'29';'../img/ccd676_Lighthouse.jpg';'Activo';'sdfdsf';'sdfsf';'sdfdsf';'2012-05-20'
'30';'../img/01e8a6_Penguins.jpg';'Activo';'fsdfsdf';'fdsfdsf';'sdfsdfs';'2012-05-20'
'31';'../img/835626_Tulips.jpg';'Activo';'fgdfs';'fsdfsdfsf';'fsfsf';'2012-05-20'
'32';'../img/587fde_Koala.jpg';'Activo';'sfsf';'sdfsfsf';'sdfsfsf';'2012-05-20'
'33';'../img/05f142_Desert.jpg';'Activo';'dfsdf';'sdfdsfsf';'sdfsfsf';'2012-05-20'
'34';;'Activo';'dsfdsfds';'sdfdsfdsf';'sdfdsfsdf';'2012-05-20'
'35';;'Activo';'dsfdsfds';'sdfdsfsdf';'dsfsdfsdf';'2012-05-20'
'36';;'Activo';'fsdfds';'dsfdsfdf';'dsfdsfsfsdf';'2012-05-20'
'37';;'Activo';'dsfdsfdsf';'sdfdsfdsf';'dsfdsfsdf';'2012-05-20'
'38';;'Activo';'dsfdsfdsf';'sdfdsfdsfd';'sdfdsfsdf';'2012-05-20'
'39';;'Activo';'dsffdsf';'dsfsdfsdf';'sdfdsfsdfsdf';'2012-05-20'
'40';'http://localhost/mailing/mailer/uploads/6b7587_mad';'Activo';'dsfdsfdsf';'sdfdsfdsf';'sdfdsfsdfds';'2012-05-20'
'41';'http://localhost/mailing/mailer/uploads/4c14f9_madres.html';'Activo';'sdfsdfsaf';'sdfdsfdsf';'fsdfdsfdsf';'2012-05-20'
'42';'http://localhost/mailing/mailer/uploads/fb5fd1_madres.html';'Activo';'fsdfdsf';'dsfdsfdsf';'sdfdsfdsf';'2012-05-20'
'43';'http://localhost/mailing/mailer/uploads/70b2b5_madres.html';'Activo';'fdsfdsf';'sdfdsfdsf';'sdfdsfsdfsdf';'2012-05-20'
'44';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'fdsfdsf';'dsfdsfdsf';'sdfdsfsdfsdf';'2012-05-20'
'45';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'fdsfdsf';'dsfdsfdsf';'dsfdsfsdf';'2012-05-20'
'46';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'dsfdsf';'sdfdsfdsf';'sdfdsfdsf';'2012-05-20'
'47';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'dsfdsfdsf';'sdfdsfdsf';'sdfdsfsdfsdf';'2012-05-20'
'48';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'dddddddddddd';'ddddddddd';'ddddddddddd';'2012-05-20'
'49';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'nnnnnnnn';'nnnnnnnn';'nnnnnnnn';'2012-05-20'
'50';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'eeeeee';'eeeeeeee';'eeeeeeee';'2012-05-20'
'51';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'fsdfsdf';'sdfdsfdsf';'sdfdsfdsfsdf';'2012-05-20'
'52';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'sdfdsfdsf';'dsffdsfdsf';'fdsfdsfdsf';'2012-05-20'
'53';'http://localhost/mailing/mailer/uploads/madres.html';'Activo';'dfdsfdsf';'sdfsdfsd';'fdsfdsfdsf';'2012-05-20'
